comuna,km
Algarrobo,1.1
Alhué,1.29
Alto Hospicio,4.65
Angol,11.358
Antofagasta,27.257
Arauco,3.77
Arica,24.988
Buin,31.689
Calama,13.757
Caldera,6.82
Calera de Tango,26.592
Calle Larga,7.18
Cartagena,1.015
Casablanca,5.14
Cañete,1.88
Cerrillos,5.67
Cerro Navia,4.16
Chiguayante,9.42
Chillán,21.65
Chillán Viejo,6.4
Chimbarongo,4.4830000000000005
Cobquecura,3.32
Codegua,1.48
Coinco,3.34
Colina,22.83
Coltauco,9.4
Concepción,43.28
Conchalí,5.61
Concón,1.5499999999999998
Constitución,0.8
Contulmo,5.66
Copiapó,28.801000000000002
Coquimbo,19.8
Coronel,7.529999999999999
Coyhaique,2.24
Cunco,7.550000000000001
Curacautín,14.61
Curacavi,3.97
Curicó,32.137
Doñihue,13.79
El Bosque,4.65
El Monte,10.42
El Quisco,0.68
Estación Central,12.147
Futrono,6.49
Graneros,5.829
Hijuelas,1.4
Hualpén,11.4
Hualqui,0.8
Huechuraba,7.3100000000000005
Illapel,3.29
Independencia,9.043999999999999
Iquique,9.148
Isla De Maipo,16.02
La Calera,11.46
La Cisterna,2.025
La Florida,14.939
La Granja,6.034
La Pintana,23.663999999999998
La Reina,18.523
La Serena,23.57
La Unión,7.721
Laja,0.78
Lampa,9.280000000000001
Las Condes,42.841653
Linares,28.1
Llay Llay,6.13
Lo Barnechea,3.118
Lo Espejo,2.92
Lo Prado,1.97
Longaví,2.7
Los Andes,1.55
Los Ángeles,34.76
Lota,0.24
Machalí,8.47
Macul,7.259
Maipú,24.192
Malloa,8.34
Maria Pinto,34.89
Melipilla,29.0
Molina,1.44
Mostazal,3.358
Nancagua,1.43
Natales,8.336
Navidad,1.21
Olivar,3.82
Olmué,6.5
Osorno,16.159
Ovalle,5.64
Padre Hurtado,2.49
Padre Las Casas,16.378
Paine,60.728555
Panguipulli,2.59
Pedro Aguirre Cerda,3.3
Peumo,17.46
Peñaflor,6.140000000000001
Peñalolén,20.332
Pichidegua,3.811
Pichilemu,3.55
Pirque,8.83
Porvenir,1.968
Providencia,34.397999999999996
Pucón,6.58
Pudahuel,20.400000000000002
Puente Alto,27.651
Puerto Aysén,7.71913
Puerto Montt,37.355
Puerto Octay,19.4
Puerto Varas,68.972
Punta Arenas,21.695
Puyehue,16.0
Quellón,2.61
Quilaco,1.24
Quilicura,6.629
Quilleco,1.3
Quilpué,7.45
Quinta Normal,10.283
Quinta de Tilcoco,1.04
Quintero,1.37
Rancagua,74.217
Rauco,3.77
Recoleta,14.376000000000001
Renca,11.0635
Rengo,2.13
Requínoa,2.41
Rinconada,9.1
Romeral,0.47
Saavedra,1.5699999999999998
San Bernardo,18.708
San Clemente,6.84
San Felipe,11.758
San Fernando,9.05
San Joaquín,13.945
San Miguel,1.311
San Pedro,3.5
San Pedro de La Paz,1.0
San Pedro de la Paz,23.490000000000002
San Ramón,2.45
San Vicente,10.32
Santa Bárbara,1.567
Santa Cruz,5.151606
Santiago,64.537092
Santo Domingo,7.5
Talagante,23.022
Talca,58.339999999999996
Talcahuano,13.28
Temuco,65.101
Tierra Amarilla,0.78
Tiltil,3.3899999999999997
Tirúa,1.59
Tomé,4.91
Valdivia,31.878
Vallenar,2.1
Valparaíso,11.83
Victoria,4.83
Villa Alegre,2.23
Villarrica,7.265
Vitacura,10.129999999999999
Viña del Mar,5.566000000000001
Yumbel,1.97
Zapallar,3.0
Ñuñoa,23.016
